相川,あいかわ,aikawa
新田,しんでん,shinden
新藤,しんどう,shindou
進藤,しんどう,shindou
神野,じんの,jinno
新保,しんぼ,shinbo
神保,じんぼ,jinbo
新堀,しんぼり,shinbori
新山,しんやま,shinyama
水上,すいじょう,suijou
水沢,すいたく,suitaku
水田,すいでん,suiden
末吉,すえきち,suekichi
末次,すえつぐ,suetsugu
末永,すえなが,suenaga
末広,すえひろ,suehiro
末松,すえまつ,suematsu
須賀,すが,suga
須貝,すがい,sugai
菅井,すがい,sugai
菅沼,すがぬま,suganuma
菅野,すがの,sugano
菅谷,すがや,sugaya
菅原,すがわら,sugawara
杉,すぎ,sugi
杉浦,すぎうら,sugiura
杉江,すぎえ,sugie
杉岡,すぎおか,sugioka
杉崎,すぎさき,sugisaki
杉田,すぎた,sugita
杉谷,すぎたに,sugitani
杉野,すぎの,sugino
杉原,すぎはら,sugihara
杉村,すぎむら,sugimura
杉本,すぎもと,sugimoto
杉森,すぎもり,sugimori
杉山,すぎやま,sugiyama
菅,すげ,suge
助川,すけがわ,sukegawa
菅田,すげた,sugeta
須崎,すざき,suzaki
鈴木,すずき,suzuki
鈴村,すずむら,suzumura
須田,すだ,suda
須藤,すどう,sudou
須永,すなが,sunaga
砂川,すながわ,sunagawa
砂田,すなだ,sunada
鷲見,すみ,sumi
住田,すみた,sumita
隅田,すみだ,sumida
角野,すみの,sumino
住吉,すみよし,sumiyoshi
須山,すやま,suyama
陶山,すやま,suyama
諏訪,すわ,suwa
清家,せいけ,seike
清野,せいの,seino
瀬尾,せお,seo
妹尾,せお,seo
瀬川,せがわ,segawa
関,せき,seki
関川,せきかわ,sekikawa
関口,せきぐち,sekiguchi
関戸,せきど,sekido
関根,せきね,sekine
関野,せきの,sekino
関本,せきもと,sekimoto
関谷,せきや,sekiya
瀬戸,せと,seto
瀬戸口,せとぐち,setoguchi
芹沢,せりざわ,serizawa
浅見,せんけん,senken
千田,せんだ,senda
仙波,せんなみ,sennami
早田,そうだ,souda
桑田,そうでん,souden
相馬,そうま,souma
副島,そえじま,soejima
添田,そえだ,soeda
曽我,そが,soga
曽我部,そがべ,sogabe
曾根,そね,sone
曽根,そね,sone
園田,そのだ,sonoda
園部,そのべ,sonobe
染谷,そめや,someya
田井,たい,tai
大家,たいか,taika
大賀,たいが,taiga
大江,だいこう,daikou
大黒,だいこく,daikoku
大東,だいとう,daitou
大道,だいどう,daidou
大木,たいぼく,taiboku
大門,だいもん,daimon
平良,たいら,taira
多賀,たが,taga
高井,たかい,takai
高石,たかいし,takaishi
高尾,たかお,takao
高岡,たかおか,takaoka
高垣,たかがき,takagaki
高城,たかぎ,takagi
高木,たかぎ,takagi
高久,たかく,takaku
高倉,たかくら,takakura
高桑,たかくわ,takakuwa
高坂,たかさか,takasaka
高崎,たかさき,takasaki
高沢,たかさわ,takasawa
高島,たかしま,takashima
高嶋,たかしま,takashima
田頭,たがしら,tagashira
高須,たかす,takasu
